model,contrast,delta,ci_lo,ci_hi,significant
Gemma 4 31B-IT,V2-V1,0.49,0.32,0.67,True
Gemma 4 31B-IT,V3-V1,0.73,0.49,0.98,True
Gemma 4 31B-IT,V3-V2,0.24,-0.01,0.5,False
Gemma 4 31B-IT,V4-V3,0.47,0.28,0.67,True
Gemma 4 31B-IT,V4-V2,0.71,0.44,0.99,True
Gemma 4 31B-IT,V5-V4,-0.12,-0.31,0.04,False
Gemini 3.6 Flash,V2-V1,0.57,0.38,0.76,True
Gemini 3.6 Flash,V3-V1,0.79,0.54,1.04,True
Gemini 3.6 Flash,V3-V2,0.22,-0.0,0.46,False
Gemini 3.6 Flash,V4-V3,0.38,0.19,0.59,True
Gemini 3.6 Flash,V4-V2,0.61,0.36,0.86,True
Gemini 3.6 Flash,V5-V4,-0.06,-0.23,0.1,False
Gemini 3.1 Pro (prev.),V2-V1,1.01,0.76,1.25,True
Gemini 3.1 Pro (prev.),V3-V1,0.76,0.5,1.03,True
Gemini 3.1 Pro (prev.),V3-V2,-0.25,-0.53,0.03,False
Gemini 3.1 Pro (prev.),V4-V3,0.62,0.33,0.92,True
Gemini 3.1 Pro (prev.),V4-V2,0.38,0.14,0.61,True
Gemini 3.1 Pro (prev.),V5-V4,0.05,-0.17,0.29,False
