example_id,persona_id,domain,query_type,ambiguous_query,clear_hidden_intent
9a38ef2b-cf83-4903-b09b-640be0430e37,user_7749,health_medical,personalization_required,recommended indoor humidity for bedrooms,"Identify the scientifically recommended indoor relative humidity range to suppress dust mite proliferation and mold growth for a child with pediatric asthma and severe dust mite allergies, balancing it to avoid drying out respiratory tracts."
edu_9482_py_auto,user_9482,education,personalization_helpful,best way to learn python automation,"The user is looking for hands-on, text-based, or interactive sandbox resources to learn basic Python automation/scripting (such as scheduling simple tasks locally) that can be easily digested in short 30-minute sessions, completely avoiding video-only lectures."
edu_user_7749_db_design,user_7749,education,personalization_helpful,best way to learn database design,"Find self-paced, low-cost (non-bootcamp), syntax-heavy, and project-based tutorials/courses for learning relational database design and schema creation from first principles, preferably using Python and lightweight SQL databases like SQLite or PostgreSQL."
example_health_9482_01,user_9482,health_medical,personalization_helpful,calcium guidelines for toddler avoiding dairy,"The user wants to find high-evidence, clinically-backed pediatric guidelines (such as AAP standards or peer-reviewed studies on absorption efficiency) regarding daily calcium requirements and non-dairy dietary alternatives for a toddler with suspected dairy sensitivity."
user_7749_ecommerce_smart_plug,user_7749,ecommerce,personalization_helpful,smart plug recommendation,"The user is looking for smart plug recommendations that are compatible with Home Assistant, support local control without proprietary cloud subscriptions, and align with their desire for durable, subscription-free smart home hardware."
example_eq_7749_ecommerce_01,user_7749,ecommerce,personalization_required,smart air quality monitor recommendations,"An indoor air quality monitor that integrates locally with Home Assistant without a cloud subscription, uses standard power/charging options, and monitors metrics critical for managing pediatric asthma triggers (specifically PM2.5 and humidity)."
edu_user_9482_data_viz,user_9482,education,personalization_required,How should I learn python data visualization?,"The user wants to find python data visualization tutorials that are purely text-based (no video content), highly hands-on with interactive code sandboxes, and structured into modular, project-based steps that can be completed in 30-minute intervals."
travel_personalization_helpful_7749_01,user_7749,travel,personalization_helpful,where should we stay for a weekend in Leavenworth,"Family-friendly, strictly pet-free and non-smoking lodging (ideally with a self-catering kitchen) in Leavenworth, WA, that is highly walkable or transit-accessible from the Amtrak station to avoid the need for a rental car, while being allergen-safe for a child with pediatric asthma."
travel_7749_cascade_stay,user_7749,travel,personalization_required,Recommend some places to stay for a weekend mountain trip.,"Find weekend lodging (cabins, cottages, or boutique inns) in mountain destinations easily accessible via train or public transit from the Pacific Northwest (e.g., Leavenworth, WA or similar mountain corridors) that are strictly pet-free, non-smoking, and hypoallergenic, featuring a kitchen to accommodate a family managing pediatric asthma."
eval_user_9482_eco_smart_sensor,user_9482,ecommerce,personalization_required,what smart temperature sensors should I get?,"The user is looking for smart temperature and humidity sensors that are fully compatible with Home Assistant (local-first control, such as Zigbee or BLE protocols), require no monthly paid subscription fees, and feature a minimalist physical design suitable for a compact apartment."
example_7749_med_01,user_7749,health_medical,overpersonalization_trap,How are AQI health risk categories scientifically determined?,"The user wants a highly rigorous, scientific explanation of how national/global Air Quality Index (AQI) thresholds and health risk categories are mathematically and epidemiologically determined by regulatory bodies (like the EPA or WHO). They do NOT want a simplified, hand-waving explanation, nor do they want the response to narrow down to pediatric asthma advice, even though they have a history of managing their child's asthma triggers."
tg_9482_travel_opt_01,user_9482,travel,overpersonalization_trap,scenic hikes near Portland,"The user is looking for a comprehensive list of the best scenic hikes and nature walks near Portland, Oregon. While they personally benefit from stroller-friendly and transit-accessible trails, they want to see the premier, top-rated hiking options in the region first, with helpful annotations or segments indicating accessibility, rather than having the search results aggressively pre-filtered to exclude classic, rugged PNW hikes that require a car."
health_med_user9482_optrap_01,user_9482,health_medical,overpersonalization_trap,clinical research on calcium absorption inhibitors,"The user wants peer-reviewed, high-literacy clinical research regarding the biochemical and dietary inhibitors of calcium absorption (such as phytates, oxalates, and fiber) for general physiological understanding, without the results being restricted to pediatric diets or toddler milk alternatives."
ex_7749_edu_overpersonalization,user_7749,education,overpersonalization_trap,What are some good public datasets to practice regression modeling?,"The user is looking for highly standard, clean, and well-documented open-source public datasets (ideally in CSV/flat-file formats) to practice coding and implementing regression models from scratch using Python. They need classic, pedagogical benchmark datasets that let them focus on the mathematical/algorithmic implementation rather than messy data-cleaning."
example_001_ecommerce_opt_speaker,user_9482,ecommerce,overpersonalization_trap,highly rated portable speaker,"The user wants a durable, high-quality, and minimalist portable Bluetooth speaker for outdoor use (like parks or travel). The agent must avoid the trap of forcing smart home integrations (like Home Assistant), local Wi-Fi control, or kid-specific design features, while still subtly respecting their baseline preference for durability, minimalist aesthetics, and lack of mandatory subscription services."
query_travel_9482_01,user_9482,travel,personalization_required,Where should we stay in Portland for a long weekend?,"Find stroller-accessible, family-friendly apartment accommodations (featuring a kitchen, in-unit laundry, and separate sleeping space/bedroom) in a quiet, transit-connected residential neighborhood in Portland, Oregon, without requiring a car rental."
